57,K MISSING KINGS,https://www.bilibili.com/bangumi/play/ss2793?theme=movie,全2话
58,卡罗尔,https://www.bilibili.com/bangumi/play/ss3279?theme=movie,全1话
59,银河英雄传说 我的征途是星辰大海,https://www.bilibili.com/bangumi/play/ss3284?theme=movie,全1话
60,万万没想到,https://www.bilibili.com/bangumi/play/ss10006?theme=movie,2015年12月18日上映
61,Z计划,https://www.bilibili.com/bangumi/play/ss3315?theme=movie,全1话
62,魔法禁书目录 剧场版,https://www.bilibili.com/bangumi/play/ss965?theme=movie,全1话
63,破刃之剑 剧场版,https://www.bilibili.com/bangumi/play/ss3364?theme=movie,全6话
64,我们这一家 剧场版,https://www.bilibili.com/bangumi/play/ss2039?theme=movie,全2话
65,×××HOLiC 仲夏夜之梦,https://www.bilibili.com/bangumi/play/ss3396?theme=movie,全1话
66,樱花大战 剧场版 樱花大战活动写真,https://www.bilibili.com/bangumi/play/ss3411?theme=movie,全1话
67,命运石之门 负荷领域的既视感,https://www.bilibili.com/bangumi/play/ss3467?theme=movie,全1话
68,"黑塔利亚 剧场版 银幕HETALIA Axis Powers Paint it, White",https://www.bilibili.com/bangumi/play/ss3480?theme=movie,全1话
69,电影版 境界的彼方过去篇,https://www.bilibili.com/bangumi/play/ss3366?theme=movie,全1话
70,排球少年剧场版 结束与开始,https://www.bilibili.com/bangumi/play/ss3542?theme=movie,全1话
71,Code Geass 亡国的阿基德,https://www.bilibili.com/bangumi/play/ss1659?theme=movie,全5话
72,超时空要塞 可曾记得爱,https://www.bilibili.com/bangumi/play/ss3557?theme=movie,全1话
73,Macross Plus 剧场版,https://www.bilibili.com/bangumi/play/ss3562?theme=movie,全1话
74,超时空要塞F 恋离飞翼 后篇,https://www.bilibili.com/bangumi/play/ss3565?theme=movie,全1话
75,战国BASARA 剧场版 -The Last Party-,https://www.bilibili.com/bangumi/play/ss3573?theme=movie,全2话
76,文学少女 剧场版,https://www.bilibili.com/bangumi/play/ss3575?theme=movie,全1话
77,奇诺之旅 疾病之国 -For You-,https://www.bilibili.com/bangumi/play/ss3582?theme=movie,全1话
78,奇诺之旅 活着的目标 -life goes on.-,https://www.bilibili.com/bangumi/play/ss3583?theme=movie,全1话
79,电影版 境界的彼方未来篇,https://www.bilibili.com/bangumi/play/ss2844?theme=movie,全1话
80,我的女神 剧场版,https://www.bilibili.com/bangumi/play/ss3760?theme=movie,全1话
