X战警：黑凤凰,https://www.bilibili.com/bangumi/play/ss46252?theme=movie,2019年6月7日上映
X战警：天启,https://www.bilibili.com/bangumi/play/ss46251?theme=movie,2016年5月27日上映
X战警：逆转未来,https://www.bilibili.com/bangumi/play/ss46253?theme=movie,2014年5月23日上映
X战警2,https://www.bilibili.com/bangumi/play/ss46249?theme=movie,2003年9月29日上映
X战警,https://www.bilibili.com/bangumi/play/ss46242?theme=movie,2000年7月14日上映
旅途的结束，世界的开始,https://www.bilibili.com/bangumi/play/ss46608?theme=movie,2019年6月14日上映
玉蝎子的魔咒,https://www.bilibili.com/bangumi/play/ss39127?theme=movie,2001年8月24日上映
非强力春药,https://www.bilibili.com/bangumi/play/ss39656?theme=movie,1995年9月1日上映
乐园,https://www.bilibili.com/bangumi/play/ss46534?theme=movie,2019年10月7日上映
微妙爱情,https://www.bilibili.com/bangumi/play/ss46533?theme=movie,2011年12月21日上映
笑傲神探,https://www.bilibili.com/bangumi/play/ss46517?theme=movie,2020年1月25日上映
我的爸爸是英雄,https://www.bilibili.com/bangumi/play/ss46529?theme=movie,1991年10月23日上映
最后一次夜班,https://www.bilibili.com/bangumi/play/ss46192?theme=movie,2020年1月27日上映
没问题先生,https://www.bilibili.com/bangumi/play/ss46519?theme=movie,2015年1月1日上映
红龙,https://www.bilibili.com/bangumi/play/ss46521?theme=movie,2002年10月4日上映
汉尼拔,https://www.bilibili.com/bangumi/play/ss46037?theme=movie,2001年2月9日上映
憨豆特工2,https://www.bilibili.com/bangumi/play/ss46520?theme=movie,2011年10月7日上映
王牌特工：特工学院,https://www.bilibili.com/bangumi/play/ss46271?theme=movie,2014年12月13日上映
王牌特工2：黄金圈,https://www.bilibili.com/bangumi/play/ss46282?theme=movie,2017年9月20日上映
如梦,https://www.bilibili.com/bangumi/play/ss45257?theme=movie,2010年4月30日上映
拨云见日,https://www.bilibili.com/bangumi/play/ss42725?theme=movie,1983年12月8日上映
异形魔怪,https://www.bilibili.com/bangumi/play/ss46355?theme=movie,1990年1月19日上映
魔法灰姑娘,https://www.bilibili.com/bangumi/play/ss46197?theme=movie,2004年4月9日上映
怪兽大学,https://www.bilibili.com/bangumi/play/ss46268?theme=movie,2013年6月21日上映
黑夜勿怕,https://www.bilibili.com/bangumi/play/ss46201?theme=movie,2011年8月26日上映
梵高,https://www.bilibili.com/bangumi/play/ss46518?theme=movie,1991年10月30日上映
超完美男人,https://www.bilibili.com/bangumi/play/ss46200?theme=movie,2005年6月17日上映
无处可逃,https://www.bilibili.com/bangumi/play/ss46445?theme=movie,2022年2月25日上映
剧场版 美味派对?光之美少女 梦想的?儿童套餐！,https://www.bilibili.com/bangumi/play/ss46357?theme=movie,全1话
情枭的黎明,https://www.bilibili.com/bangumi/play/ss46444?theme=movie,1993年11月10日上映
大世界扭蛋机2,https://www.bilibili.com/bangumi/play/ss46237?theme=movie,2023年10月19日上映
绿里奇迹,https://www.bilibili.com/bangumi/play/ss46464?theme=movie,1999年12月10日上映
回到未来3,https://www.bilibili.com/bangumi/play/ss45550?theme=movie,1990年5月25日上映
回到未来2,https://www.bilibili.com/bangumi/play/ss45547?theme=movie,1989年11月22日上映
芭比之梦境奇遇记,https://www.bilibili.com/bangumi/play/ss46093?theme=movie,全1话
回到未来,https://www.bilibili.com/bangumi/play/ss45541?theme=movie,1985年7月3日上映
芭比之公主和摇滚训练营,https://www.bilibili.com/bangumi/play/ss46105?theme=movie,全1话
芭比之海豚魔法,https://www.bilibili.com/bangumi/play/ss46095?theme=movie,全1话
芭比之电玩英雄,https://www.bilibili.com/bangumi/play/ss46091?theme=movie,全1话
芭比,https://www.bilibili.com/bangumi/play/ss45464?theme=movie,2023年7月21日上映
陷阱,https://www.bilibili.com/bangumi/play/ss46347?theme=movie,2012年4月22日上映
世界上最好的工作,https://www.bilibili.com/bangumi/play/ss46346?theme=movie,1900年1月1日上映
危险思想的自白,https://www.bilibili.com/bangumi/play/ss46196?theme=movie,2002年12月31日上映
疯狂店员,https://www.bilibili.com/bangumi/play/ss46195?theme=movie,1994年10月19日上映
甜心女孩,https://www.bilibili.com/bangumi/play/ss46218?theme=movie,2021年1月1日上映
甜心大话王,https://www.bilibili.com/bangumi/play/ss46226?theme=movie,2002年5月17日上映
鲨鱼黑帮,https://www.bilibili.com/bangumi/play/ss31871?theme=movie,2005年4月29日上映
